,Word,Occurences_Before,Occurences_After,Percent_Before,Percent_After,Delta
335,маю,15,10,0.0002998261008615003,0.00021652520353369133,-8.330089732780897e-05
336,стіни,15,7,0.0002998261008615003,0.00015156764247358393,-0.00014825845838791637
337,нікому,15,7,0.0002998261008615003,0.00015156764247358393,-0.00014825845838791637
338,говорить,15,11,0.0002998261008615003,0.00023817772388706046,-6.164837697443984e-05
339,можливість,15,0,0.0002998261008615003,0.0,0.0
340,мова,15,20,0.0002998261008615003,0.00043305040706738266,0.00013322430620588236
341,бодай,15,3,0.0002998261008615003,6.49575610601074e-05,-0.0002348685398013929
342,хліб,15,9,0.0002998261008615003,0.0001948726831803222,-0.0001049534176811781
343,рік,14,14,0.0002798376941374003,0.00030313528494716786,2.3297590809767568e-05
344,дім,14,20,0.0002798376941374003,0.00043305040706738266,0.00015321271292998237
345,дивиться,14,2,0.0002798376941374003,4.3305040706738266e-05,-0.00023653265343066203
346,місто,14,25,0.0002798376941374003,0.0005413130088342284,0.00026147531469682806
347,тримає,14,9,0.0002798376941374003,0.0001948726831803222,-8.49650109570781e-05
